title,GENRE,genre/SUB,LANGUAGE,language/SUB,imdb_score,premiere,runtime,year
Get the Goat,Comedy,Comedy_SPECIFIC,Portuguese,Portuguese,6.3,3/18/2021,97,2021
What Did Jack Do?,Drama,Drama / Short,English,English_SPECIFIC,6.5,1/20/2020,17,2020
When We First Met,Romance,Romantic comedy,English,English_SPECIFIC,6.4,02-09-2018,97,2018
Alex Strangelove,Romance,Romantic comedy,English,English_SPECIFIC,6.3,06-08-2018,99,2018
The Mars Generation,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.4,05-05-2017,97,2017
Bulbbul,Horror,Horror_SPECIFIC,Hindi,Hindi,6.6,6/24/2020,94,2020
The Great Hack,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,7/24/2019,114,2019
How It Ends,ACTION,Action-thriller,English,English_SPECIFIC,5,7/13/2018,113,2018
The Incredible Jessica James,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,6.5,7/28/2017,83,2017
The Forest of Love,Drama,Drama_SPECIFIC,Japanese,Japanese,6.3,10-11-2019,151,2019
Canvas ,Animation,Animation / Short,English,English_SPECIFIC,6.5,12-11-2020,9,2020
Firebrand,Drama,Drama_SPECIFIC,Marathi,Marathi,5.2,2/22/2019,112,2019
#REALITYHIGH,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.2,09-08-2017,99,2017
Rattlesnake,Horror,Horror_SPECIFIC,English,English_SPECIFIC,4.6,10/25/2019,85,2019
Murder to Mercy: The Cyntoia Brown Story,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.4,4/29/2020,97,2020
Sextuplets,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,4.4,8/16/2019,99,2019
Cuba and the Cameraman ,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,8.3,11/24/2017,114,2017
Christmas Inheritance,Romance,Romantic drama,English,English_SPECIFIC,5.7,12/15/2017,104,2017
The Crimes That Bind,Crime ,Crime drama,Spanish,Spanish,6.6,8/20/2020,99,2020
Ghosts of Sugar Land,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,5.5,10/16/2019,21,2019
The Last Days of American Crime,Heist_,Heist film/Thriller,English,English_SPECIFIC,3.7,06-05-2020,149,2020
Lionheart,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.7,01-04-2019,94,2019
Dolly Kitty and Those Twinkling Stars,Drama,Drama_SPECIFIC,Hindi,Hindi,5.4,9/18/2020,120,2020
"Bikram: Yogi, Guru, Predator",Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.7,11/20/2019,86,2019
Strong Island,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.4,9/15/2017,107,2017
A Secret Love,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.9,4/29/2020,82,2020
Space Sweepers,SCIENCE,Science fiction,Korean,Korean,6.6,02-05-2021,136,2021
Nobody Knows I'm Here,Drama,Drama_SPECIFIC,Spanish,Spanish,6.5,6/24/2020,91,2020
The Laundromat,Comedy,Comedy-drama,English,English_SPECIFIC,6.3,10/18/2019,98,2019
The Meyerowitz Stories (New and Selected),Comedy,Comedy-drama,English,English_SPECIFIC,6.9,10/13/2017,112,2017
"Lorena, Light-Footed Woman",Documentary,Documentary_SPECIFIC,Spanish,Spanish,7,11/20/2019,28,2019
End Game,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,05-04-2018,40,2018
The Babysitter: Killer Queen,Comedy,Comedy/Horror,English,English_SPECIFIC,5.8,09-10-2020,102,2020
iBoy,SCIENCE,Science fiction/Thriller,English,English_SPECIFIC,6,1/27/2017,90,2017
I Am Not an Easy Man,Romance,Romantic comedy,French_SPECIFIC,French,6.3,4/13/2018,98,2018
Ride or Die,Psychological,Psychological thriller drama,Japanese,Japanese,5.5,4/15/2021,142,2021
The Angel, thriller,Spy thriller,English,English_SPECIFIC,6.6,9/14/2018,114,2018
Get the Grift,Comedy,Comedy_SPECIFIC,Portuguese,Portuguese,5.5,4/28/2021,94,2021
Concrete Cowboy,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.3,04-02-2021,111,2021
Porta dos Fundos: The Last Hangover,Comedy,Comedy_SPECIFIC,Portuguese,Portuguese,6.3,12/21/2018,44,2018
Tig,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.4,7/17/2015,80,2015
The Midnight Sky,SCIENCE,Science fiction,English,English_SPECIFIC,5.6,12/23/2020,118,2020
Ultras,SPORTS,Sports film,Italian,Italian,5.9,3/20/2020,108,2020
Tony Robbins: I Am Not Your Guru,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.7,7/15/2016,116,2016
June & Kopi,Drama,Drama_SPECIFIC,Indonesian,Indonesian,6.3,1/28/2021,90,2021
We Are One,Documentary,Documentary_SPECIFIC,French_SPECIFIC,French,4.6,7/14/2020,86,2020
Monster,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.5,05-07-2021,98,2021
Grass Is Greener,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,4/20/2019,97,2019
Hubie Halloween,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.2,10-07-2020,103,2020
Little Evil,Comedy,Comedy horror,English,English_SPECIFIC,5.7,09-01-2017,94,2017
Ferry,Crime ,Crime drama,Dutch,Dutch_SPECIFIC,7.1,5/14/2021,106,2021
Desperados,Romance,Romantic comedy,English,English_SPECIFIC,5.2,07-03-2020,106,2020
Holidate,Romance,Romantic comedy/Holiday,English,English_SPECIFIC,6.1,10/28/2020,104,2020
Lust Stories,Drama,Drama_SPECIFIC,Hindi,Hindi,6.5,6/15/2018,120,2018
Under the Riccione Sun,Romance,Romantic teenage drama,Italian,Italian,5.4,07-01-2020,101,2020
Burning Sands,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.1,03-10-2017,102,2017
Dead Kids,Thriller,Thriller_SPECIFIC,Filipino,Filipino,5.5,12-01-2019,94,2019
Spenser Confidential,ACTION,Action/Comedy,English,English_SPECIFIC,6.2,03-06-2020,111,2020
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,Documentary_SPECIFIC,Spanish,Spanish/English,7.3,07-08-2020,96,2020
Tallulah,Comedy,Comedy-drama,English,English_SPECIFIC,6.7,7/29/2016,111,2016
Step Sisters,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.5,1/19/2018,108,2018
The Most Assassinated Woman in the World,Thriller,Thriller_SPECIFIC,French_SPECIFIC,French,5.3,09-07-2018,102,2018
Serious Men,Drama,Drama_SPECIFIC,Hindi,Hindi,6.8,10-02-2020,114,2020
All Together Now,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.5,8/28/2020,93,2020
Win It All,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,6.2,04-07-2017,88,2017
Offering to the Storm,Thriller,Thriller_SPECIFIC,Spanish,Spanish,6.2,7/24/2020,139,2020
"Hello Privilege. It's Me, Chelsea",Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,4.4,9/13/2019,64,2019
The Claudia Kishi Club,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.9,07-10-2020,17,2020
The White Helmets,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.5,9/16/2016,40,2016
The Do-Over,ACTION,Action/Comedy,English,English_SPECIFIC,5.7,5/27/2016,108,2016
The Old Guard,Superhero,Superhero/Action,English,English_SPECIFIC,6.7,07-10-2020,124,2020
Tigertail,Drama,Drama_SPECIFIC,English,English/Taiwanese/Mandarin,6.5,04-10-2020,91,2020
Recovery Boys,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.6,6/29/2018,89,2018
Rajma Chawal,Comedy,Comedy-drama,Hindi,Hindi,5.8,11/30/2018,118,2018
The Kissing Booth,Romance,Romantic comedy,English,English_SPECIFIC,6,05-11-2018,105,2018
The Trader,Documentary,Documentary_SPECIFIC,Georgian,Georgian,6.8,02-09-2018,23,2018
Benji,Family,Family film,English,English_SPECIFIC,6.3,3/16/2018,87,2018
15-Aug,Comedy,Comedy-drama,Marathi,Marathi,5.8,3/29/2019,124,2019
Chadwick Boseman: Portrait of an Artist,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.5,4/17/2021,21,2021
Kingdom of Us,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7,10/13/2017,109,2017
Audrie & Daisy,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.2,9/23/2016,98,2016
5 Star Christmas,Comedy,Comedy_SPECIFIC,Italian,Italian,4.6,12-07-2018,95,2018
Father Soldier Son,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.3,7/17/2020,100,2020
The Occupant,Thriller,Thriller_SPECIFIC,Spanish,Spanish,6.4,3/25/2020,103,2020
Gunjan Saxena: The Kargil Girl,Drama,Drama_SPECIFIC,Hindi,Hindi,5.3,08-12-2020,112,2020
See You Yesterday,SCIENCE,Science fiction,English,English_SPECIFIC,5.2,5/17/2019,87,2019
Pee-wee's Big Holiday,Adventure,Adventure_ONLY,English,English_SPECIFIC,6.1,3/18/2016,89,2016
Anelka: Misunderstood,Documentary,Documentary_SPECIFIC,French_SPECIFIC,French,6.4,08-05-2020,94,2020
Oxygen,SCIENCE,Science fiction thriller,French_SPECIFIC,French,6.5,05-12-2021,101,2021
Tony Parker: The Final Shot,Documentary,Documentary_SPECIFIC,French_SPECIFIC,French,6.8,01-06-2021,98,2021
His House,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,6.5,10/30/2020,93,2020
13th,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,8.2,10-07-2016,100,2016
Ladies First,Documentary,Documentary_SPECIFIC,English,English/Hindi,7.2,03-08-2018,39,2018
Calibre,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,6.8,6/29/2018,101,2018
Lost Girls,Crime ,Crime drama,English,English_SPECIFIC,6.1,3/13/2020,95,2020
Brahman Naman,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.6,07-07-2016,95,2016
Girlfriend's Day,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.2,2/14/2017,70,2017
Anima,Musical,Musical / Short,English,English_SPECIFIC,7.7,6/27/2019,15,2019
The Irishman,Crime ,Crime drama,English,English_SPECIFIC,7.8,11/27/2019,209,2019
Dolly Parton: A MusiCares Tribute,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.5,04-07-2021,55,2021
IO,SCIENCE,Science fiction/Drama,English,English_SPECIFIC,4.7,1/18/2019,95,2019
After Maria,Documentary,Documentary_SPECIFIC,English,English/Spanish,4.6,5/24/2019,37,2019
Amanda Knox,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.9,9/30/2016,92,2016
